chr	start	end	value
chr1	111991299	111991799	0.40686278911514
chr1	151311456	151311956	0.24095330958074
chr1	155011958	155012458	0.0307368009736888
chr1	155011958	155012458	0.0307368009736888
chr1	155011958	155012458	0.0307368009736888
chr1	155011958	155012458	0.0307368009736888
chr1	155011958	155012458	0.0307368009736888
chr1	155011958	155012458	0.0307368009736888
chr1	155011958	155012458	0.0307368009736888
chr1	155011958	155012458	0.0307368009736888
chr1	159598126	159598626	0.448270751782042
chr1	159598126	159598626	0.448270751782042
chr1	16623897	16624397	1.5
chr1	167082599	167083099	0.751270155641109
chr1	179586215	179586715	0.85945998075553
chr1	179586215	179586715	0.85945998075553
chr1	202022892	202023392	0.607287805648655
chr1	202022892	202023392	0.607287805648655
chr1	202108181	202108681	0.608817197616007
chr1	203408370	203408870	0.358171301518186
chr1	203408370	203408870	0.358171301518186
chr1	203408370	203408870	0.358171301518186
chr1	205783825	205784325	0.386884674660626
chr1	205783825	205784325	0.386884674660626
chr1	205783825	205784325	0.386884674660626
chr1	206050633	206051133	0.604002504662962
chr1	206050633	206051133	0.604002504662962
chr1	209389128	209389628	0.892039214409433
chr1	209389128	209389628	0.892039214409433
chr1	209389128	209389628	0.892039214409433
chr1	209389128	209389628	0.892039214409433
chr1	209389128	209389628	0.892039214409433
chr1	210464309	210464809	1.18525982769155
chr1	210464309	210464809	1.18525982769155
chr1	212485809	212486309	0.213046477601232
chr1	221839678	221840178	0.911440777613553
chr1	223707672	223708172	0.813296491209869
chr1	223707672	223708172	0.813296491209869
chr1	230307927	230308427	0.491623538334954
chr1	230307927	230308427	0.491623538334954
chr1	43550027	43550527	0.20641425517783
chr1	43550027	43550527	0.20641425517783
chr1	43550027	43550527	0.20641425517783
chr1	43550027	43550527	0.20641425517783
chr1	53089541	53090041	0.356416875591389
chr1	53509151	53509651	0.417228960025787
chr1	54227160	54227660	0.482969568186101
chr1	58929627	58930127	0.802127580426704
chr1	58929627	58930127	0.802127580426704
chr10	95395976	95396476	0.705485497050552
chr11	2092974	2093474	0.569204514616882
chr11	2092974	2093474	0.569204514616882
chr11	2092974	2093474	0.569204514616882
chr11	2092974	2093474	0.569204514616882
chr11	2092974	2093474	0.569204514616882
chr11	2092974	2093474	0.569204514616882
chr11	2860558	2861058	0.612800141817692
chr11	2860558	2861058	0.612800141817692
chr11	2860558	2861058	0.612800141817692
chr11	3404438	3404938	0.474614334209991
chr11	34318585	34319085	0.418657725744205
chr12	109581735	109582235	0.776070386350208
chr12	113040607	113041107	0.57787096267952
chr12	113040607	113041107	0.57787096267952
chr12	120086805	120087305	0.396881366846805
chr12	120086805	120087305	0.396881366846805
chr12	120086805	120087305	0.396881366846805
chr12	120086805	120087305	0.396881366846805
chr12	120086805	120087305	0.396881366846805
chr12	120086805	120087305	0.396881366846805
chr12	120086805	120087305	0.396881366846805
chr12	120086805	120087305	0.396881366846805
chr12	131901979	131902479	0.873926341114266
chr12	13347093	13347593	0.521667750007478
chr12	13347093	13347593	0.521667750007478
chr12	13347093	13347593	0.521667750007478
chr12	2397303	2397803	1.16446816661965
chr12	52876290	52876790	0.36244284664194
chr12	52876290	52876790	0.36244284664194
chr12	52876290	52876790	0.36244284664194
chr12	52876290	52876790	0.36244284664194
chr12	52876290	52876790	0.36244284664194
chr12	52876290	52876790	0.36244284664194
chr12	52876290	52876790	0.36244284664194
chr12	52876290	52876790	0.36244284664194
chr12	52876290	52876790	0.36244284664194
chr12	54306976	54307476	0.813367863309432
chr12	54432104	54432604	0.560831319714481
chr12	54432104	54432604	0.560831319714481
chr12	6371033	6371533	0.181367386896504
chr12	6371033	6371533	0.181367386896504
chr12	6371033	6371533	0.181367386896504
chr12	6371033	6371533	0.181367386896504
chr12	6371033	6371533	0.181367386896504
chr12	6371033	6371533	0.181367386896504
chr12	6540457	6540957	0.185146357205326
chr12	6540457	6540957	0.185146357205326
chr12	6540457	6540957	0.185146357205326
chr12	6540457	6540957	0.185146357205326
chr12	6540457	6540957	0.185146357205326
chr12	6540457	6540957	0.185146357205326
chr12	6998574	6999074	0.99332851274744
chr15	64010607	64011107	0.548475962292383
chr15	81312933	81313433	0.353331489696539
chr15	83323376	83323876	0.51124019785606
chr15	83323376	83323876	0.51124019785606
chr15	83323376	83323876	0.51124019785606
chr15	84929749	84930249	0.606744454995297
chr15	84929749	84930249	0.606744454995297
chr16	15482182	15482682	1.12116623309231
chr16	4935210	4935710	0.546598878310586
chr16	4935210	4935710	0.546598878310586
chr16	4935210	4935710	0.546598878310586
chr16	54657306	54657806	0.580723441942656
chr16	54657306	54657806	0.580723441942656
chr16	54657306	54657806	0.580723441942656
chr16	54657306	54657806	0.580723441942656
chr16	54657306	54657806	0.580723441942656
chr16	66522042	66522542	1.054948730379
chr16	66522042	66522542	1.054948730379
chr16	66522042	66522542	1.054948730379
chr16	81707569	81708069	0.338366106487323
chr16	81707569	81708069	0.338366106487323
chr16	81707569	81708069	0.338366106487323
chr16	84832403	84832903	0.679179891776114
chr16	85720105	85720605	0.559946501603402
chr16	85720105	85720605	0.559946501603402
chr16	85720105	85720605	0.559946501603402
chr16	85720105	85720605	0.559946501603402
chr17	11598794	11599294	0.501749942099499
chr17	17027974	17028474	0.319728485591249
chr17	17710803	17711303	0.666254976094235
chr17	17710803	17711303	0.666254976094235
chr17	18988544	18989044	0.523965592906009
chr17	34235417	34235917	0.226053886279954
chr19	10749632	10750132	0.491870515716341
chr19	10749632	10750132	0.491870515716341
chr19	1183738	1184238	0.115290321887818
chr19	1183738	1184238	0.115290321887818
chr19	1183738	1184238	0.115290321887818
chr19	1183738	1184238	0.115290321887818
chr19	1183738	1184238	0.115290321887818
chr19	1183738	1184238	0.115290321887818
chr19	15452134	15452634	0.830351010913233
chr19	17606192	17606692	0.742942693372296
chr19	17606192	17606692	0.742942693372296
chr19	17606192	17606692	0.742942693372296
chr19	17606192	17606692	0.742942693372296
chr19	17606192	17606692	0.742942693372296
chr19	3275925	3276425	1.06211757777469
chr19	3275925	3276425	1.06211757777469
chr19	3275925	3276425	1.06211757777469
chr19	3275925	3276425	1.06211757777469
chr19	38636792	38637292	0.2765575916261
chr19	46634014	46634514	0.721304574877328
chr19	47428094	47428594	1.05765308082808
chr19	47428094	47428594	1.05765308082808
chr19	6718813	6719313	1.00737032690619
chr19	6718813	6719313	1.00737032690619
chr19	6718813	6719313	1.00737032690619
chr19	6718813	6719313	1.00737032690619
chr19	6718813	6719313	1.00737032690619
chr19	703655	704155	0.811180263031756
chr19	703655	704155	0.811180263031756
chr19	703655	704155	0.811180263031756
chr19	7871915	7872415	0.88813859580226
chr2	130727459	130727959	0.616593812428186
chr2	217797428	217797928	0.255704662785145
chr2	217797428	217797928	0.255704662785145
chr2	217797428	217797928	0.255704662785145
chr2	217797428	217797928	0.255704662785145
chr2	217797428	217797928	0.255704662785145
chr2	232876276	232876776	0.740874887517256
chr2	232876276	232876776	0.740874887517256
chr2	232876276	232876776	0.740874887517256
chr2	232876276	232876776	0.740874887517256
chr2	893298	893798	1.49623213283967
chr20	23628941	23629441	0.619375069581474
chr20	24149874	24150374	0.721958281083391
chr20	24149874	24150374	0.721958281083391
chr20	24746215	24746715	0.709565743096364
chr20	32155047	32155547	0.237194829945115
chr20	32155047	32155547	0.237194829945115
chr20	32155047	32155547	0.237194829945115
chr20	371800	372300	0.28523679137342
chr20	4041700	4042200	0.437004046547314
chr20	40506409	40506909	0.882086344061246
chr20	4135415	4135915	0.280426444396115
chr20	4135415	4135915	0.280426444396115
chr20	49460846	49461346	0.859138806189553
chr20	50248222	50248722	0.471397103745931
chr20	50248222	50248722	0.471397103745931
chr20	50248222	50248722	0.471397103745931
chr20	50306074	50306574	0.351633475737085
chr20	50306074	50306574	0.351633475737085
chr20	50306074	50306574	0.351633475737085
chr20	50306074	50306574	0.351633475737085
chr20	50306074	50306574	0.351633475737085
chr20	50856035	50856535	0.572491357931026
chr20	63553304	63553804	0.874316958879204
chr20	63553304	63553804	0.874316958879204
chr20	63553304	63553804	0.874316958879204
chr20	63553304	63553804	0.874316958879204
chr20	63553304	63553804	0.874316958879204
chr20	63553304	63553804	0.874316958879204
chr20	63686656	63687156	0.345688337307219
chr20	63834822	63835322	0.420644509157598
chr20	63834822	63835322	0.420644509157598
chr20	63834822	63835322	0.420644509157598
chr20	63834822	63835322	0.420644509157598
chr20	63834822	63835322	0.420644509157598
chr20	63834822	63835322	0.420644509157598
chr21	33078929	33079429	0.275523700347545
chr21	33078929	33079429	0.275523700347545
chr21	34702411	34702911	1.15118486161403
chr21	34702411	34702911	1.15118486161403
chr21	34702411	34702911	1.15118486161403
chr21	34743752	34744252	0.733365396654233
chr21	34743752	34744252	0.733365396654233
chr21	34743752	34744252	0.733365396654233
chr21	38787370	38787870	0.491004046268643
chr21	41562066	41562566	0.410633574220387
chr21	41562066	41562566	0.410633574220387
chr21	41562066	41562566	0.410633574220387
chr21	42844619	42845119	0.458078386134762
chr3	186598279	186598779	0.44535433996672
chr3	195080467	195080967	0.402380550313856
chr3	197520592	197521092	0.239299154422439
chr4	110371207	110371707	0.197190678598788
chr4	110371207	110371707	0.197190678598788
chr4	154907606	154908106	0.503479769207191
chr4	154907606	154908106	0.503479769207191
chr4	1580388	1580888	0.942197936510014
chr4	1580388	1580888	0.942197936510014
chr4	1580388	1580888	0.942197936510014
chr4	184968627	184969127	0.197385352532373
chr4	184968627	184969127	0.197385352532373
chr4	25652173	25652673	0.794833665241446
chr4	25652173	25652673	0.794833665241446
chr4	25652173	25652673	0.794833665241446
chr4	53507752	53508252	0.766418208198637
chr4	53507752	53508252	0.766418208198637
chr4	53507752	53508252	0.766418208198637
chr4	76200799	76201299	0.371910531442829
chr4	8101107	8101607	0.877204757216892
chr4	8214969	8215469	0.25123620451864
chr4	8214969	8215469	0.25123620451864
chr5	107466114	107466614	0.734307792860994
chr5	107466114	107466614	0.734307792860994
chr5	116763953	116764453	1.14029180931832
chr5	116763953	116764453	1.14029180931832
chr5	116763953	116764453	1.14029180931832
chr5	119439140	119439640	1.5
chr5	119439140	119439640	1.5
chr5	119439140	119439640	1.5
chr5	124628942	124629442	0.834056729872022
chr5	124628942	124629442	0.834056729872022
chr5	124628942	124629442	0.834056729872022
chr5	124628942	124629442	0.834056729872022
chr5	128216980	128217480	0.958175856880578
chr5	132094295	132094795	0.871477787055291
chr5	132094295	132094795	0.871477787055291
