"sample" "value" "external_gene_name" "sample_text"
"1" "caki_1_cp_c2_e1" 0.414670073004003 "OSMR" "sh-CP-C2"
"2" "caki_1_cp_c2_e1" 78.9025000021506 "COL4A1" "sh-CP-C2"
"3" "caki_1_cp_c2_e1" 2.05031313874202 "TGM2" "sh-CP-C2"
"4" "caki_1_cp_c1_e1" 0.557563661369856 "OSMR" "sh-CP-C1"
"5" "caki_1_cp_c1_e1" 82.2685182351223 "COL4A1" "sh-CP-C1"
"6" "caki_1_cp_c1_e1" 2.23025464547943 "TGM2" "sh-CP-C1"
"7" "caki_1_control_e1" 322.553379379351 "OSMR" "sh-NT1"
"8" "caki_1_control_e1" 599.543055034072 "COL4A1" "sh-NT1"
"9" "caki_1_control_e1" 319.233476698325 "TGM2" "sh-NT1"
"10" "dr_caki_1_rna" 222.405302423237 "OSMR" "sh-NT2"
"11" "dr_caki_1_rna" 863.423735856421 "COL4A1" "sh-NT2"
"12" "dr_caki_1_rna" 190.80761312102 "TGM2" "sh-NT2"
